"Location","String Value"
"800035e4","Metrowerks Target Resident Kernel for PowerPC"
"801f0dc0","MESGbmg1"
"801f0de0","INF1"
"801f0e20","DAT1"
"801f0e29","ディスクを読み込んでいます。"
"801f0e46","ディスクカバーが開いています。
ゲームを続ける場合は
ディスクカバーを閉めてください。"
"801f0e9b","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0edb","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0f1b","ディスクを読めませんでした。
くわしくは、本体の取扱説明書をお読みください。"
"801f0f67","エラーが発生しました。
本体のパワーボタンを押して電源をOFFにし
本体の取扱説明書の指示に従ってください。"
"80227390","---イベントセット---
"
"802273d8","---時刻シーケンス終了---
"
"802273f4","プレイヤーフォロー音声削除"
"80227410","%dP:妖精アイテムゲット(%d)"
"8022742c","%dP:妖精アイテムゲット(%d)重複"
"8022744c","BingoNo=%d:%d"
"80227524","[31m登録イベントオーバー[%d][m"
"80227564","宝箱閉じる"
"80227570","トランシーバー使用可"
"80227588","トランシーバー使用不可"
"802275a0","順位変動"
"802275ac","宝箱セット"
"802275b8","スコップ除外"
"80244554","正解率 %d/%d"
"80244610","トランシーバー開始 %dP"
"80244628","トランシーバー終了"
"8024463c","トランシーバー（要求）　スタンパーヒント"
"80244668","トランシーバー（要求）　開いていない宝箱"
"80244694","トランシーバー（要求）　コイン落とし"
"802446bc","トランシーバー（要求）　使用中問い合わせ(終了発行)"
"802446f0","トランシーバー（要求）　使用中問い合わせ"
"8024471c","ヒントＯＮ"
"80244728","ヒントＯＦＦ"
"80244738","トランシーバー　スタンパーヒント"
"8024475c","トランシーバー　開いていない宝箱"
"80244780","トランシーバー　コイン落とし"
"802447a0","トランシーバー　壷落とし"
"802447bc","トランシーバー　要求完了"
"80244828","コイン落とし開始"
"8024483c","コイン落とし終了"
"80244850","コイン配給開始"
"80244860","コイン配給終了"
"802448e0","ラッキーイベント開始"
"802448f8","ラッキーイベント終了"
"80244910","爆弾イベント開始"
"80244924","爆弾イベント終了"
"80244c10","ＢＩＮＧＯ（ボールセット）終了"
"80244c30","ＢＩＮＧＯ（ボールセット・ラスト）終了"
