"Location","String Value"
"80463fc4","black.bti"
"8046d818","black.bti"
"80466588","blackCloudFilter.bmd"
"804665b8","blackCloudFilter.brk"
"804665a0","blackCloudFilter.btk"
"8046c840","BLCK"
"80471844","BLZ2"
"80465d80","BLZE"
"80466840","BLZE"
"80469c7c","BLZE"
"80469fd0","BLZE"
"8047170c","BLZE"
"804662b4","BMST"
"804662f4","BMST"
"80466884","BMST"
"80464284","BMTY"
"80464d58","BMTY"
"80469c80","BMTY"
"8046f3f4","BMTY"
"8046f3f8","BMTY"
"80471fcc","bomb_big.bti"
"80471fbc","bomb_big_a.bti"
"8046abf4","BOME"
"8046ac30","BOME"
"80465da4","BORD"
"80469ff4","BORD"
"80465524","boss000.arc"
"80465518","boss001.arc"
"8046550c","boss002.arc"
"8046553c","boss004.arc"
"80465548","boss005.arc"
"80465554","boss006.arc"
"8046556c","boss007.arc"
"80465578","boss008.arc"
"80465584","boss009.arc"
"8046538c","boss010.arc"
"80465398","boss011.arc"
"804653b0","boss013.arc"
"804653bc","boss020.arc"
"804653c8","boss021.arc"
"804653e0","boss023.arc"
"804653ec","boss030.arc"
"804653f8","boss031.arc"
"80465410","boss033.arc"
"8046541c","boss040.arc"
"80465428","boss041.arc"
"80465440","boss043.arc"
"8046544c","boss050.arc"
"80465458","boss051.arc"
"80465470","boss053.arc"
"8046547c","boss060.arc"
"80465488","boss061.arc"
"804654a0","boss063.arc"
"804654ac","boss070.arc"
"804654b8","boss071.arc"
"804654d0","boss073.arc"
"804654dc","boss080.arc"
"804654f4","boss081.arc"
"80465500","boss083.arc"
"8046559c","boss090.arc"
"804655a8","boss091.arc"
"804655b4","boss092.arc"
"804655c0","boss093.arc"
"804655cc","boss094.arc"
"804655d8","boss095.arc"
"804655e4","boss096.arc"
"804655f0","boss097.arc"
"80543934","Boss1-4"
"804653a4","boss200.arc"
"804653d4","boss201.arc"
"80465404","boss202.arc"
"80465434","boss203.arc"
"80465464","boss204.arc"
"80465494","boss205.arc"
"804654c4","boss206.arc"
"804654e8","boss207.arc"
"8054393c","Boss5-8"
"80465530","boss990.arc"
"80465560","boss991.arc"
"80465590","boss992.arc"
"80467780","boss_butag_01.bti"
"80467794","boss_butag_02.bti"
"804677a8","boss_butag_03.bti"
"804677bc","boss_butag_04.bti"
"804677d0","boss_butag_05.bti"
"80467d10","boss_butag_demo_01.bti"
"80467d28","boss_butag_demo_02.bti"
"80467d40","boss_butag_demo_03.bti"
"80467d58","boss_butag_demo_04.bti"
"80467d70","boss_butag_demo_05.bti"
"804682f4","boss_butag_demo_yari_01.bti"
"80468310","boss_butag_demo_yari_02.bti"
"8046832c","boss_butag_demo_yari_03.bti"
"80468348","boss_butag_demo_yari_04.bti"
"80468364","boss_butag_demo_yari_05.bti"
"80467b28","boss_butag_down_01.bti"
"80467b40","boss_butag_down_02.bti"
"80467b58","boss_butag_down_03.bti"
"80467b70","boss_butag_down_04.bti"
"80467b88","boss_butag_down_04_1.bti"
"80467ba4","boss_butag_down_04_2.bti"
"80467bc0","boss_butag_down_up_01.bti"
"80467bdc","boss_butag_down_up_02.bti"
"80467bf8","boss_butag_down_up_03.bti"
"80467c14","boss_butag_down_up_04.bti"
"80467c30","boss_butag_down_up_05.bti"
"80468254","boss_butag_down_up_yari_01.bti"
"80468274","boss_butag_down_up_yari_02.bti"
"80468294","boss_butag_down_up_yari_03.bti"
"804682b4","boss_butag_down_up_yari_04.bti"
"804682d4","boss_butag_down_up_yari_05.bti"
"804681a4","boss_butag_down_yari_01.bti"
"804681c0","boss_butag_down_yari_02.bti"
"804681dc","boss_butag_down_yari_03.bti"
"804681f8","boss_butag_down_yari_04.bti"
"80468214","boss_butag_down_yari_04_1.bti"
"80468234","boss_butag_down_yari_04_2.bti"
"804677e4","boss_butag_kougeki_age_01.bti"
"80467804","boss_butag_kougeki_age_02.bti"
"80467824","boss_butag_kougeki_age_03.bti"
"80467844","boss_butag_kougeki_age_04.bti"
"80467864","boss_butag_kougeki_age_05.bti"
"80467884","boss_butag_kougeki_age_06.bti"
"804678a4","boss_butag_kougeki_age_07.bti"
"80467e90","boss_butag_kougeki_age_yari_01.bti"
"80467eb4","boss_butag_kougeki_age_yari_02.bti"
"80467ed8","boss_butag_kougeki_age_yari_03.bti"
"80467efc","boss_butag_kougeki_age_yari_04.bti"
"80467f20","boss_butag_kougeki_age_yari_05.bti"
"80467f44","boss_butag_kougeki_age_yari_06.bti"
"80467f68","boss_butag_kougeki_age_yari_07.bti"
"804678c4","boss_butag_kougeki_mawashi_01.bti"
"804678e8","boss_butag_kougeki_mawashi_02.bti"
"8046790c","boss_butag_kougeki_mawashi_03.bti"
"80467930","boss_butag_kougeki_mawashi_04.bti"
"80467954","boss_butag_kougeki_nage_01.bti"
"80467974","boss_butag_kougeki_nage_02.bti"
"80467994","boss_butag_kougeki_nage_03.bti"
"804679b4","boss_butag_kougeki_nage_03_2.bti"
"804679d8","boss_butag_kougeki_nage_04.bti"
"804679f8","boss_butag_kougeki_nage_05.bti"
"80467a80","boss_butag_kougeki_nage_05_2.bti"
"80467aa4","boss_butag_kougeki_nage_05_3.bti"
"80467a18","boss_butag_kougeki_nage_05a.bti"
"80467a38","boss_butag_kougeki_nage_05a_2.bti"
"80467a5c","boss_butag_kougeki_nage_05a_3.bti"
"80467ac8","boss_butag_kougeki_nage_06.bti"
"80467ae8","boss_butag_kougeki_nage_07.bti"
"80467b08","boss_butag_kougeki_nage_08.bti"
"8046800c","boss_butag_kougeki_nage_yari01.bti"
"80468030","boss_butag_kougeki_nage_yari02.bti"
"80468054","boss_butag_kougeki_nage_yari03.bti"
"80468078","boss_butag_kougeki_nage_yari03_2.bti"
"804680a0","boss_butag_kougeki_nage_yari04.bti"
"804680e8","boss_butag_kougeki_nage_yari05a.bti"
"8046810c","boss_butag_kougeki_nage_yari05a_2.bti"
"80468134","boss_butag_kougeki_nage_yari05a_3.bti"
"804680c4","boss_butag_kougeki_nage_yari06.bti"
"8046815c","boss_butag_kougeki_nage_yari07.bti"
"80468180","boss_butag_kougeki_nage_yari08.bti"
"80467d88","boss_butag_noke_01.bti"
"80467da0","boss_butag_noke_02.bti"
"80467db8","boss_butag_noke_03.bti"
"80467dd0","boss_butag_noke_04.bti"
"80467de8","boss_butag_noke_05.bti"
"80467e00","boss_butag_noke_06.bti"
"80468380","boss_butag_noke_yari_01.bti"
"8046839c","boss_butag_noke_yari_02.bti"
"804683b8","boss_butag_noke_yari_03.bti"
"804683d4","boss_butag_noke_yari_04.bti"
"804683f0","boss_butag_noke_yari_05.bti"
"8046840c","boss_butag_noke_yari_06.bti"
"80467c4c","boss_butag_shometsu_01.bti"
"80467c68","boss_butag_shometsu_02.bti"
"80467c84","boss_butag_shometsu_03.bti"
"80467ca0","boss_butag_shometsu_04.bti"
"80467cbc","boss_butag_shometsu_05.bti"
"80467cd8","boss_butag_shometsu_06.bti"
"80467cf4","boss_butag_shometsu_07.bti"
"80467e18","boss_butag_yari_01.bti"
"80467e30","boss_butag_yari_02.bti"
"80467e48","boss_butag_yari_03.bti"
"80467e60","boss_butag_yari_04.bti"
"80467e78","boss_butag_yari_05.bti"
"80467f8c","boss_butag_yari_mawashi_01.bti"
"80467fac","boss_butag_yari_mawashi_02.bti"
"80467fcc","boss_butag_yari_mawashi_03.bti"
"80467fec","boss_butag_yari_mawashi_04.bti"
"80465c00","boss_deg_atama.bti"
"80465c14","boss_deg_atama_kuchi_01.bti"
"80465c30","boss_deg_atama_kuchi_02.bti"
"80465c4c","boss_deg_karada_01.bti"
"80465c64","boss_deg_karada_02.bti"
"80465c7c","boss_deg_karada_03.bti"
"80465c94","boss_deg_karada_04.bti"
"80465cac","boss_deg_karada_maru.bti"
"80465ce4","boss_deg_shippo.bti"
"80465cf8","boss_deg_shippo_blue.bti"
"80465cc8","boss_deg_shippo_green.bti"
"80465d14","boss_deg_shippo_purple.bti"
"80469548","boss_koori_bougyo_05.bti"
"80469564","boss_koori_bougyo_06.bti"
"80469580","boss_koori_bougyo_07.bti"
"8046959c","boss_koori_bougyo_08.bti"
"804695b8","boss_koori_bougyo_09.bti"
"804695d4","boss_koori_bougyo_10.bti"
"804697bc","boss_koori_fly_01.bti"
"804697d4","boss_koori_fly_02.bti"
"804697ec","boss_koori_fly_03.bti"
"80469998","boss_koori_fly_hiraku_01.bti"
"804699b8","boss_koori_fly_hiraku_02.bti"
"804699d8","boss_koori_fly_hiraku_03.bti"
"80469938","boss_koori_fly_tojiru_01.bti"
"80469958","boss_koori_fly_tojiru_02.bti"
"80469978","boss_koori_fly_tojiru_03.bti"
"804695f0","boss_koori_kougeki_05.bti"
"8046960c","boss_koori_kougeki_06.bti"
"804694e8","boss_koori_loop_01.bti"
"80469500","boss_koori_loop_02.bti"
"80469518","boss_koori_loop_03.bti"
"80469530","boss_koori_loop_04.bti"
"80469628","boss_koori_rakka_01.bti"
"80469640","boss_koori_rakka_02.bti"
"80469658","boss_koori_rakka_03.bti"
"80469670","boss_koori_rakka_04.bti"
